title,keywords,journal,abstract,publication_date,authors,Topic Words
Rosmarinic acid and its derivative's duel as antitubercular agents: insights from computational prediction to functional response ,"['Perovskia abrotanoides', 'molecular docking', 'molecular dynamics', 'rosmarinic acid', 'tuberculosis']",Journal of biomolecular structure & dynamics,"Tuberculosis is one of the most dreadful infectious diseases, afflicting global populations with anguish. With the emergence of multi-drug resistant strains of mycobacteria, the imperative for new anti-tuberculosis drugs has grown exponentially. Thus, the current study delves into evaluating the impact of ",2023-10-25,"[{'lastname': 'Sarkar', 'firstname': 'Nandan', 'initials': 'N', 'affiliation': 'Department of Pharmaceutical Technology, School of Health and Medical Science, Adamas University, Kolkata, West Bengal, India.'}, {'lastname': 'Khanal', 'firstname': 'Pukar', 'initials': 'P', 'affiliation': 'Department of Pharmacology and Toxicology, KLE College of Pharmacy Belagavi, KLE Academy of Higher Education and Research (KAHER) Belagavi, Belagavi, India.\nDepartment of Pharmacology, Nitte Gulabi Shetty Memorial Institute of Pharmaceutical Sciences (NGSMIPS), NITTE University, Mangalore, India.'}, {'lastname': 'Rawat', 'firstname': 'Ravi', 'initials': 'R', 'affiliation': 'Department of Pharmaceutical Sciences, School of Health Sciences and Technology, UPES University, Dehradun, Uttarakhand, India.'}, {'lastname': 'Dey', 'firstname': 'Yadu Nandan', 'initials': 'YN', 'affiliation': 'Department of Pharmacology, Dr. B.C. Roy College of Pharmacy and Allied Health Sciences, Durgapur, West Bengal, India.'}, {'lastname': 'Roy', 'firstname': 'Kuldeep K', 'initials': 'KK', 'affiliation': 'Department of Pharmaceutical Sciences, School of Health Sciences and Technology, UPES University, Dehradun, Uttarakhand, India.'}]",Tuberculosis.
Vaccination with mycobacterial lipid loaded nanoparticle leads to lipid antigen persistence and memory differentiation of antigen-specific T cells.,"['CD1', 'Mycobacterium tuberculosis', 'T cell', 'antigen archiving', 'antigen persistence', 'immunology', 'inflammation', 'mouse', 'mycolic acid', 'nanoparticle']",eLife,,2023-10-25,"[{'lastname': 'Morgun', 'firstname': 'Eva', 'initials': 'E', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Zhu', 'firstname': 'Jennifer', 'initials': 'J', 'affiliation': 'Department of Biomedical Engineering, Northwestern University, Evanston, United States.'}, {'lastname': 'Almunif', 'firstname': 'Sultan', 'initials': 'S', 'affiliation': 'Department of Biomedical Engineering, Northwestern University, Evanston, United States.'}, {'lastname': 'Bobbala', 'firstname': 'Sharan', 'initials': 'S', 'affiliation': 'Department of Biomedical Engineering, Northwestern University, Evanston, United States.'}, {'lastname': 'Aguilar', 'firstname': 'Melissa S', 'initials': 'MS', 'affiliation': 'Department of Medicine, University of Washington School of Medicine, Seattle, United States.'}, {'lastname': 'Wang', 'firstname': 'Junzhong', 'initials': 'J', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Conner', 'firstname': 'Kathleen', 'initials': 'K', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Cui', 'firstname': 'Yongyong', 'initials': 'Y', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Cao', 'firstname': 'Liang', 'initials': 'L', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Seshadri', 'firstname': 'Chetan', 'initials': 'C', 'affiliation': 'Department of Medicine, University of Washington School of Medicine, Seattle, United States.'}, {'lastname': 'Scott', 'firstname': 'Evan A', 'initials': 'EA', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}, {'lastname': 'Wang', 'firstname': 'Chyung-Ru', 'initials': 'CR', 'affiliation': 'Department of Microbiology and Immunology, Feinberg School of Medicine, Northwestern University, Chicago, United States.'}]","""La enfermedad que vamos a tratar en este artículo se caracteriza por la inflamación crónica de las articulaciones. Suele afectar a las manos, muñecas, rodillas y tobillos. Los síntomas más comunes son dolor, rigidez y dificultad para mover las articulaciones. También puede haber hinchazón y enrojecimiento en la zona afectada. A medida que avanza la enfermedad, las articulaciones pueden deformarse y causar discapacidad. El tratamiento incluye medicación para controlar la inflamación y el dolor, terapia física y, en algunos casos, cirugía.""

Enfermedad: Artritis reumatoide."
Simplified urine-based method to detect rifampin underexposure in adults with tuberculosis: a prospective diagnostic accuracy study.,"['colorimetry', 'pharmacokinetics', 'rifampin', 'spectrophotometry', 'therapeutic drug monitoring', 'tuberculosis']",Antimicrobial agents and chemotherapy,"Variable pharmacokinetics of rifampin in tuberculosis (TB) treatment can lead to poor outcomes. Urine spectrophotometry is simpler and more accessible than recommended serum-based drug monitoring, but its optimal efficacy in predicting serum rifampin underexposure in adults with TB remains uncertain. Adult TB patients in New Jersey and Virginia receiving rifampin-containing regimens were enrolled. Serum and urine samples were collected over 24 h. Rifampin serum concentrations were measured using validated liquid chromatography-tandem mass spectrometry, and total exposure (area under the concentration-time curve) over 24 h (AUC",2023-10-25,"[{'lastname': 'Xie', 'firstname': 'Yingda L', 'initials': 'YL', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Modi', 'firstname': 'Nisha', 'initials': 'N', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Handler', 'firstname': 'Deborah', 'initials': 'D', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Yu', 'firstname': 'Sijia', 'initials': 'S', 'affiliation': 'Department of Pharmaceutics and Center of Excellence for Pharmaceutical Translational Research and Education, Ernest Mario School of Pharmacy, Rutgers, State University of New Jersey , Piscataway, New Jersey, USA.'}, {'lastname': 'Rao', 'firstname': 'Prakruti', 'initials': 'P', 'affiliation': 'Division of Infectious Diseases and International Health, University of Virginia , Charlottesville, USA.'}, {'lastname': 'Kagan', 'firstname': 'Leonid', 'initials': 'L', 'affiliation': 'Department of Pharmaceutics and Center of Excellence for Pharmaceutical Translational Research and Education, Ernest Mario School of Pharmacy, Rutgers, State University of New Jersey , Piscataway, New Jersey, USA.'}, {'lastname': 'Petros de Guex', 'firstname': 'Kristen', 'initials': 'K', 'affiliation': 'Division of Infectious Diseases and International Health, University of Virginia , Charlottesville, USA.'}, {'lastname': 'Reiss', 'firstname': 'Robert', 'initials': 'R', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Siemiątkowska', 'firstname': 'Anna', 'initials': 'A', 'affiliation': 'Department of Pharmaceutics and Center of Excellence for Pharmaceutical Translational Research and Education, Ernest Mario School of Pharmacy, Rutgers, State University of New Jersey , Piscataway, New Jersey, USA.\nDepartment of Physical Pharmacy and Pharmacokinetics, Poznan University of Medical Sciences , Poznań, Poland.'}, {'lastname': 'Narang', 'firstname': 'Anshika', 'initials': 'A', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Narayanan', 'firstname': 'Navaneeth', 'initials': 'N', 'affiliation': 'Department of Pharmaceutics and Center of Excellence for Pharmaceutical Translational Research and Education, Ernest Mario School of Pharmacy, Rutgers, State University of New Jersey , Piscataway, New Jersey, USA.'}, {'lastname': 'Hearn', 'firstname': 'Jasie', 'initials': 'J', 'affiliation': 'Virginia Department of Health , Richmond, USA.'}, {'lastname': 'Khalil', 'firstname': 'Amanda', 'initials': 'A', 'affiliation': 'Virginia Department of Health , Richmond, USA.'}, {'lastname': 'Woods', 'firstname': 'Patricia', 'initials': 'P', 'affiliation': 'New Jersey Department of Health , Trenton, USA.'}, {'lastname': 'Young', 'firstname': 'Laura', 'initials': 'L', 'affiliation': 'Virginia Department of Health , Richmond, USA.'}, {'lastname': 'Lardizabal', 'firstname': 'Alfred', 'initials': 'A', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Subbian', 'firstname': 'Selvakumar', 'initials': 'S', 'affiliation': 'Department of Medicine, Rutgers New Jersey Medical School , Newark, New Jersey, USA.'}, {'lastname': 'Peloquin', 'firstname': 'Charles A', 'initials': 'CA', 'affiliation': 'College of Pharmacology, University of Florida , Gainesville, USA.'}, {'lastname': 'Vinnard', 'firstname': 'Christopher', 'initials': 'C', 'affiliation': 'Rutgers New Jersey Medical School , Newark, USA.'}, {'lastname': 'Thomas', 'firstname': 'Tania A', 'initials': 'TA', 'affiliation': 'Division of Infectious Diseases and International Health, University of Virginia , Charlottesville, USA.'}, {'lastname': 'Heysell', 'firstname': 'Scott K', 'initials': 'SK', 'affiliation': 'Division of Infectious Diseases and International Health, University of Virginia , Charlottesville, USA.'}]",Tuberculosis (TB)
Whole genome sequencing-based identification of human tuberculosis caused by animal-lineage ,"['Mycobacterium orygis', 'Mycobacterium tuberculosis complex', 'phylogeny', 'single nucleotide polymorphism', 'whole genome sequencing', 'zoonotic tuberculosis']",Journal of clinical microbiology,A recently described member of the ,2023-10-25,"[{'lastname': 'Islam', 'firstname': 'Md Rashedul', 'initials': 'MR', 'affiliation': 'National Reference Centre for Mycobacteriology, National Microbiology Laboratory, Public Health Agency of Canada , Winnipeg, Manitoba, Canada.'}, {'lastname': 'Sharma', 'firstname': 'Meenu K', 'initials': 'MK', 'affiliation': 'National Reference Centre for Mycobacteriology, National Microbiology Laboratory, Public Health Agency of Canada , Winnipeg, Manitoba, Canada.\nDepartment of Medical Microbiology and Infectious Diseases, Max Rady College of Medicine, University of Manitoba , Winnipeg, Manitoba, Canada.'}, {'lastname': 'KhunKhun', 'firstname': 'Rupinder', 'initials': 'R', 'affiliation': 'BC Center for Disease Control Public Health Laboratory , Vancouver, British Columbia, Canada.'}, {'lastname': 'Shandro', 'firstname': 'Cary', 'initials': 'C', 'affiliation': 'Provincial Laboratory for Public Health, Alberta Precision Labs , Edmonton, Alberta, Canada.'}, {'lastname': 'Sekirov', 'firstname': 'Inna', 'initials': 'I', 'affiliation': 'BC Center for Disease Control Public Health Laboratory , Vancouver, British Columbia, Canada.'}, {'lastname': 'Tyrrell', 'firstname': 'Gregory J', 'initials': 'GJ', 'affiliation': 'Provincial Laboratory for Public Health, Alberta Precision Labs , Edmonton, Alberta, Canada.'}, {'lastname': 'Soualhine', 'firstname': 'Hafid', 'initials': 'H', 'affiliation': 'National Reference Centre for Mycobacteriology, National Microbiology Laboratory, Public Health Agency of Canada , Winnipeg, Manitoba, Canada.\nDepartment of Medical Microbiology and Infectious Diseases, Max Rady College of Medicine, University of Manitoba , Winnipeg, Manitoba, Canada.'}]",NO_IDENTIFICADO
"Tuberculosis Variant with Rifampin Resistance Undetectable by Xpert MTB/RIF, Botswana.","['Botswana', 'antimicrobial resistance', 'bacteria', 'molecular diagnostics', 'molecular epidemiology', 'multidrug-resistant tuberculosis', 'pre–XDR TB', 'respiratory infections', 'rifampin resistance', 'tuberculosis and other mycobacteria', 'whole-genome sequencing']",Emerging infectious diseases,"GeneXpert MTB/RIF, a tool widely used for diagnosing tuberculosis, has limitations for detecting rifampin resistance in certain variants. We report transmission of a pre-extensively drug-resistant variant in Botswana that went undetected by GeneXpert. The public health impact of misdiagnosis emphasizes the need for comprehensive molecular testing to identify resistance and guide treatment.",2023-10-25,"[{'lastname': 'Modongo', 'firstname': 'Chawangwa', 'initials': 'C', 'affiliation': None}, {'lastname': 'Barilar', 'firstname': 'Ivan', 'initials': 'I', 'affiliation': None}, {'lastname': 'Wang', 'firstname': 'Qiao', 'initials': 'Q', 'affiliation': None}, {'lastname': 'Molefi', 'firstname': 'Tuduetso', 'initials': 'T', 'affiliation': None}, {'lastname': 'Makhondo', 'firstname': 'Topo', 'initials': 'T', 'affiliation': None}, {'lastname': 'Niemann', 'firstname': 'Stefan', 'initials': 'S', 'affiliation': None}, {'lastname': 'Shin', 'firstname': 'Sanghyuk S', 'initials': 'SS', 'affiliation': None}]",tuberculosis
[Preparation of ,"['EsxV', 'Mycobacterium tuberculosis', 'cyclic dimeric adenosine monophosphate', 'liposome nanoparticles', 'subunit vaccine']",Sheng wu gong cheng xue bao = Chinese journal of biotechnology,To prepare a lipid nanoparticle (LNP)-based subunit vaccine of ,2023-10-25,"[{'lastname': 'Bai', 'firstname': 'Lu', 'initials': 'L', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nSchool of Life Sciences, Yan'an University, Yan'an 716000, Shaanxi, China.""}, {'lastname': 'Lu', 'firstname': 'Yanzhi', 'initials': 'Y', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.""}, {'lastname': 'Ning', 'firstname': 'Huanhuan', 'initials': 'H', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.""}, {'lastname': 'Kang', 'firstname': 'Yali', 'initials': 'Y', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nDepartment of Physiology and Neurobiology, Basic Medical School, Ningxia Medical University, Yinchuan 750001, Ningxia, China.""}, {'lastname': 'Xie', 'firstname': 'Yanling', 'initials': 'Y', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nSchool of Life Sciences, Yan'an University, Yan'an 716000, Shaanxi, China.""}, {'lastname': 'Kang', 'firstname': 'Jian', 'initials': 'J', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.""}, {'lastname': 'Li', 'firstname': 'Xue', 'initials': 'X', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nCollege of Life Sciences, Northwest University, Xi'an 710069, Shaanxi, China.""}, {'lastname': 'Cui', 'firstname': 'Ruonan', 'initials': 'R', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nCollege of Life Sciences, Northwest University, Xi'an 710069, Shaanxi, China.""}, {'lastname': 'Wei', 'firstname': 'Yin', 'initials': 'Y', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.\nDepartment of Physiology and Neurobiology, Basic Medical School, Ningxia Medical University, Yinchuan 750001, Ningxia, China.""}, {'lastname': 'Liu', 'firstname': 'Yueqin', 'initials': 'Y', 'affiliation': ""School of Life Sciences, Yan'an University, Yan'an 716000, Shaanxi, China.""}, {'lastname': 'Bai', 'firstname': 'Yinlan', 'initials': 'Y', 'affiliation': ""Department of Microbiology and Pathogen Biology, Basic Medical School, Air Force Medical University, Xi'an 710032, Shaanxi, China.""}]",NO_IDENTIFICADO
Pharmacokinetic correlation of structurally modified chalcone derivatives as promising leads to treat tuberculosis.,"['TB', 'chalcone', 'drug discovery', 'metabolism', 'pharmacokinetic parameters']",Future medicinal chemistry,"In this study, we evaluated the potential of curated structurally modified chalcone derivatives as anti-tuberculosis (TB) agents through computer-aided drug design. Compounds from the flavonoid family known as chalcones were identified by the chemical group 1,3-diaryl-2-propen-1-one. After a search of the literature, 14 outstanding structurally modified chalcones were selected and evaluated for inhibitory activity against ",2023-10-25,"[{'lastname': 'Sabarathinam', 'firstname': 'Sarvesh', 'initials': 'S', 'affiliation': 'Drug Testing Laboratory, Interdisciplinary Institute of Indian System of Medicine, SRM Institute of Science & Technology, Kattankulathur, Chennai, Tamil Nadu, 603203, India.\nClinical Trial Unit, Metabolic Ward, Interdisciplinary Institute of Indian System of Medicine, SRM Institute of Science & Technology, Kattankulathur, Chennai, Tamil Nadu, 603203, India.\nCertificate Program-Analytical Techniques in Herbal Drug Industry, Interdisciplinary Institute of Indian System of Medicine, SRM Institute of Science & Technology, Kattankulathur, Chennai, Tamil Nadu, 603203, India.'}, {'lastname': 'Ganamurali', 'firstname': 'Nila', 'initials': 'N', 'affiliation': 'Certificate Program-Analytical Techniques in Herbal Drug Industry, Interdisciplinary Institute of Indian System of Medicine, SRM Institute of Science & Technology, Kattankulathur, Chennai, Tamil Nadu, 603203, India.'}, {'lastname': 'Satheesh', 'firstname': 'Sanjana', 'initials': 'S', 'affiliation': 'Department of Biotechnology, Birla Institute of Technology & Science, Dubai Campus, Dubai International Academic City, PO Box 345055, Dubai, United Arab Emirates.'}, {'lastname': 'Dhanasekaran', 'firstname': 'Dhivya', 'initials': 'D', 'affiliation': 'Certificate Program-Analytical Techniques in Herbal Drug Industry, Interdisciplinary Institute of Indian System of Medicine, SRM Institute of Science & Technology, Kattankulathur, Chennai, Tamil Nadu, 603203, India.'}, {'lastname': 'Raja', 'firstname': 'Arun', 'initials': 'A', 'affiliation': 'Department of Community Medicine, Sree Balaji Medical College & Hospital, Chrompet, Chennai, Tamil Nadu, 600044, India.'}]",Tuberculosis (TB)
,"['antibacterial', 'antimicrobial resistance', 'antimycobacterial', 'hit expansion', 'macromolecular assay', 'membrane depolarization', 'minimum bactericidal concentration', 'structure–activity relationship', 'water solubility']",Future medicinal chemistry,,2023-10-25,"[{'lastname': 'Kerda', 'firstname': 'M', 'initials': 'M', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': 'Šlechta', 'firstname': 'P', 'initials': 'P', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': ""Jand'ourek"", 'firstname': 'O', 'initials': 'O', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': 'Konečná', 'firstname': 'K', 'initials': 'K', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': 'Hatoková', 'firstname': 'P', 'initials': 'P', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': 'Paterová', 'firstname': 'P', 'initials': 'P', 'affiliation': 'University Hospital Hradec Králové, Department of Clinical Microbiology, Hradec Králové, 500 05, Czech Republic.'}, {'lastname': 'Zitko', 'firstname': 'J', 'initials': 'J', 'affiliation': 'Faculty of Pharmacy in Hradec Králové, Charles University, Hradec Králové, 500 05, Czech Republic.'}]",NO_IDENTIFICADO
Kikuchi-Fujimoto Disease: A Case of Febrile Cervical Lymphadenopathy With Hematological Abnormalities.,"['cervical lymphadenopathy', 'histiocytic necrotizing lymphadenitis', 'kfd', 'kikuchi disease', 'kikuchi-fujimoto disease', 'necrotizing histiocytic lymphadenitis', 'pyrexia of unknown origin (puo)']",Cureus,"Kikuchi-Fujimoto disease (KFD), or histiocytic necrotizing lymphadenitis, is a benign but rare disorder associated with febrile cervical lymphadenopathy in young adults. Here, we discuss a case of a young female patient presenting with left tender cervical lymphadenopathy that progressed bilaterally with a fever of unknown origin. Laboratory parameters showed persistent leukopenia, especially neutropenia, which fluctuated with the degree of symptom severity. Two months were taken to confirm the diagnosis of KFD based on the histological interpretation of the lymph node biopsy. Supportive management with analgesics and paracetamol formed the main treatment. This case highlights the challenges and importance of diagnosing KFD to exclude other serious conditions such as lymphoma, tuberculosis, or lupus lymphadenitis that share similar clinical manifestations as KFD.",2023-10-25,"[{'lastname': 'Lee', 'firstname': 'Dong Eun', 'initials': 'DE', 'affiliation': 'Department of Acute Medicine, University Hospitals Sussex NHS Foundation Trust, Worthing, GBR.'}, {'lastname': 'Pak', 'firstname': 'Min Gyoung', 'initials': 'MG', 'affiliation': 'Department of Pathology, Dong-A University College of Medicine, Busan, KOR.'}, {'lastname': 'Kim', 'firstname': 'Sung-Hyun', 'initials': 'SH', 'affiliation': 'Department of Internal Medicine, Dong-A University College of Medicine, Busan, KOR.'}, {'lastname': 'Chandler', 'firstname': 'Christopher', 'initials': 'C', 'affiliation': 'Department of Acute Medicine, University Hospitals Sussex NHS Foundation Trust, Worthing, GBR.'}]",Kikuchi-Fujimoto disease (KFD)
Serological analysis reveals differential antibody responses between TB patients and latently infected individuals from the TB endemic country of Mozambique.,"['LTBI (latent TB infection)', 'antibodies', 'antigens', 'diagnostics', 'latent infection', 'serology', 'tuberculosis']",Frontiers in medicine,"Serological antibody profiling of tuberculosis (TB) patients and household contacts with latent TB infection (LTBI) could identify risk indicators of disease progression, and potentially also serve as an easily accessible diagnostic tool to discriminate between these two stages of ",2023-10-25,"[{'lastname': 'Tran', 'firstname': 'Andy C', 'initials': 'AC', 'affiliation': ""Institute for Infection and Immunity, St George's University of London, London, United Kingdom.""}, {'lastname': 'Boariu', 'firstname': 'Eugenia', 'initials': 'E', 'affiliation': ""Institute for Infection and Immunity, St George's University of London, London, United Kingdom.""}, {'lastname': 'García-Bengoa', 'firstname': 'María', 'initials': 'M', 'affiliation': 'Institute of Biochemistry, University of Veterinary Medicine Hannover, Hannover, Germany.\nResearch Center for Emerging Infections and Zoonosis (RIZ), University of Veterinary Medicine Hannover, Hannover, Germany.\nLIONEX Diagnostics and Therapeutics GmbH, Braunschweig, Germany.'}, {'lastname': 'Kim', 'firstname': 'Mi-Young', 'initials': 'MY', 'affiliation': ""Institute for Infection and Immunity, St George's University of London, London, United Kingdom.""}, {'lastname': 'Vergara', 'firstname': 'Emil Joseph', 'initials': 'EJ', 'affiliation': ""Institute for Infection and Immunity, St George's University of London, London, United Kingdom.""}, {'lastname': 'Mussá', 'firstname': 'Tufária', 'initials': 'T', 'affiliation': 'Department of Microbiology, Faculty of Medicine, Eduardo Mondlane University, Maputo, Mozambique.'}, {'lastname': 'Reljic', 'firstname': 'Rajko', 'initials': 'R', 'affiliation': ""Institute for Infection and Immunity, St George's University of London, London, United Kingdom.""}]",enfermedad: tuberculosis
